Book Code,Book Name,Authors Name,Issue Year
202158.0,The Art of Conjuring Alternate Realities: How Information Warfare Shapes Your World,Shivam Shankar Singh and Anand Venkatanarayanan,2021.0
202159.0,The Great Big Lion,Chryseis Knight,2021.0
202160.0,The India Story ,Bimal Jalan,2021.0
202161.0,The Stranger In The Mirror(Autobiography of  Rakeysh Omprakash Mehra),Reeta Ramamurthy Gupta and  Rakeysh Omprakash Mehra,2021.0
202162.0,Palleku Pattabhishekam,Yalamanchili Sivaji,2021.0
202163.0,Bank With A Soul: Equitas,Dr. C K Garyali,2021.0
202164.0,An Ordinary Life: Portrait of an Indian Generation,Ashok Lavasa,2021.0
202165.0,In An Ideal World,Kunal Basu,2021.0
202166.0,My Own Mazagon,Captain Ramesh Babu,2021.0
202167.0,Leopard Diaries – the Rosette in India,Sanjay Gubbi,2021.0
202168.0,Balakot Air Strike: How India Avenged Pulwama,Manan Bhatt,2021.0
202169.0,The Year That Wasn’t – The Diary of a 14-Year-Old,Brisha Jain,2021.0
202170.0,The Earthspinner,Anuradha Roy,2021.0
202171.0,How the Earth Got Its Beauty,Sudha Murty,2021.0
202172.0,OPERATION KHUKRI,Rajpal Punia & Ms Damini Punia,2021.0
202173.0,Accelerating India: 7 Years of Modi Government,K J Alphons,2021.0
202174.0,Back to the Roots,Tamannaah Bhatia,2021.0
202175.0,Gita Govinda: Jaydeva’s Divine Odyssey,Dr. Utpal K. Banerjee,2021.0
202176.0,Human Rights and Terrorism in India,Subramanian Swamy,2021.0
202177.0,Translating Myself and Others,Jhumpa Lahiri,2021.0
202178.0,Shining Sikh Youth of India,Dr. Prabhleen Singh,2021.0
202179.0,400 Days,Chetan Bhagat,2021.0
202180.0,Jungle Nama,Amitav Ghosh,2021.0
202181.0,The Fractured Himalaya: How the Past Shadows the Present in India-China Relations,Nirupama Rao,2021.0
202182.0,The Battle of Rezang La,Kulpreet Yadav,2021.0
